Supplier_Name,PO_ID,Date,Value_INR
Olympus Creative Printz,PUR-ORD-2024-02249,22-08-2024,7315
Macfos Limited,PUR-ORD-2024-01451,22-04-2024,7313.08
Mondego Fabian Technologies,PUR-ORD-2023-01920,17-08-2023,7300
Ethereal Machines Pvt Ltd,PUR-ORD-2023-00916,12-05-2023,7230
Ethereal Machines Pvt Ltd,PUR-ORD-2023-00995,22-05-2023,7230
SHREE LAKSHMI RANGANATHA CNC WOOD CARVINGS,PUR-ORD-2024-01225,04-04-2024,7220
Goodwill Enterprises,PUR-ORD-2022-00873,10-08-2022,7215
Circuit Systems(India) Limited,PUR-ORD-2022-00681,12-07-2022,7210.9
Q Max Composites Systems,PUR-ORD-2021-00021,19-11-2021,7200
VASAN ENGINEERING WORKS,PUR-ORD-2022-00865,10-08-2022,7200
VASAN ENGINEERING WORKS,PUR-ORD-2024-01113,26-03-2024,7200
VASAN ENGINEERING WORKS,PUR-ORD-2024-01115,26-03-2024,7200
VYOM DRONES PRIVATE LIMITED . ,PUR-ORD-2024-01294,11-04-2024,7200
Vyom Vista,PUR-ORD-2024-00257-1,24-01-2024,7200
Vyom Vista,PUR-ORD-2024-00481-1,12-02-2024,7200
Shree Aditi Technologies,PUR-ORD-2023-00486-1,19-03-2023,7199
Robu.in,PUR-ORD-2022-01605,28-11-2022,7168.64
Constflick Technologies Limited,PUR-ORD-2023-02254,23-09-2023,7149
Shahputra Trading Private Limited,PUR-ORD-2022-00284,19-04-2022,7130
Shahputra Trading Private Limited,PUR-ORD-2023-00722,23-04-2023,7130
Shahputra Trading Private Limited,PUR-ORD-2023-02757,14-11-2023,7130
BIGTEKK TECHNOLOGIES,PUR-ORD-2024-00886,12-03-2024,7100
HANI AUTOMATION TECHNOLOGIES,PUR-ORD-2023-00879,09-05-2023,7100
Amazon,PUR-ORD-2023-03162,18-12-2023,7099
Voila Scientific Needs Pvt. Ltd.,PUR-ORD-2022-01700,13-12-2022,7079
Gears of Future,PUR-ORD-2023-00287,15-02-2023,7056
HANI AUTOMATION TECHNOLOGIES,PUR-ORD-2021-00038,07-12-2021,7050
Macfos Limited,PUR-ORD-2023-02092,07-09-2023,7050
Element14 India Private Limited,PUR-ORD-2024-00816,07-03-2024,7036.19
ATLANTIS ERUDITION & TRAVEL SERVICES PRIVATE  LIMITED,PUR-ORD-2023-02978,04-12-2023,7000
Creative Interiors ,PUR-ORD-2023-01629,17-07-2023,7000
CRENNOVATIONS 3D TECHNOLOGIES PRIVATE LIMITED,PUR-ORD-2022-01484,10-11-2022,7000
MAYANK ENTERPRISES,PUR-ORD-2023-02296,27-09-2023,7000
Mondego Fabian Technologies,PUR-ORD-2022-01351,18-10-2022,7000
Nebula3D Services Pvt Ltd,PUR-ORD-2024-00360,02-02-2024,7000
Raju Marine,PUR-ORD-2024-00613,22-02-2024,7000
SOGO COMPUTERS PVT. LTD,PUR-ORD-2024-00046,04-01-2024,7000
TestCAL,PUR-ORD-2023-03168,18-12-2023,7000
TestCAL,PUR-ORD-2024-01452,22-04-2024,7000
Vactech Composites Pvt Ltd,PUR-ORD-2023-01542,08-07-2023,7000
Vyom Vista,PUR-ORD-2023-00628-1,14-04-2023,7000
Amazon,PUR-ORD-2022-00858,09-08-2022,6999
Decathlon,PUR-ORD-2024-01535,25-04-2024,6999
Amazon,PUR-ORD-2023-02357,06-10-2023,6993.53
RS Components & Controls (I) Ltd,PUR-ORD-2023-02330,03-10-2023,6979.31
Evelta Electronics Private Limited,PUR-ORD-2023-00563,02-04-2023,6964
"Unique industrial solutions	",PUR-ORD-2024-02095,19-07-2024,6964
HANI AUTOMATION TECHNOLOGIES,PUR-ORD-2023-00919,12-05-2023,6960
Quick Parts Solutions Pvt Ltd,PUR-ORD-2023-00646,15-04-2023,6925.5
Elcir Industry,PUR-ORD-2023-00341,16-02-2023,6882
Robu.in,PUR-ORD-2022-01036,14-09-2022,6863.56
Robu.in,PUR-ORD-2022-01245,11-10-2022,6863.56
AADI IT SOLUTIONS,PUR-ORD-2022-01508,10-11-2022,6850
VASAN ENGINEERING WORKS,PUR-ORD-2022-00900,16-07-2022,6850
TATA TELESERVICES LIMITED,PUR-ORD-2023-02365,06-10-2023,6830
Elcir Industry,PUR-ORD-2023-00422,28-02-2023,6820
ANS Associates,PUR-ORD-2023-00623,13-04-2023,6800
Seizo CNC Pvt Ltd,PUR-ORD-2023-00395,18-02-2023,6800
XBotics Bangalore,PUR-ORD-2023-01622,17-07-2023,6800
Desertcart India,PUR-ORD-2023-00719,23-04-2023,6799
Melody Electronics,PUR-ORD-2022-00618,23-06-2022,6780
ATLANTIS ERUDITION & TRAVEL SERVICES PRIVATE  LIMITED,PUR-ORD-2023-02396,11-10-2023,6779.66
Seizo CNC Pvt Ltd,PUR-ORD-2024-00641,24-02-2024,6695
Macfos Limited,PUR-ORD-2024-01692,10-05-2024,6689.45
Element14 India Private Limited,PUR-ORD-2024-01405,17-04-2024,6688.4
Macfos Limited,PUR-ORD-2024-01848,23-05-2024,6682.84
Element14 India Private Limited,PUR-ORD-2024-00721,29-02-2024,6654.08
Epicenter3D,PUR-ORD-2023-01203,10-06-2023,6615
Epicenter3D,PUR-ORD-2023-01270,15-06-2023,6615
Macfos Limited,PUR-ORD-2023-01759,27-07-2023,6610.17
Delhi Sales Corporation,PUR-ORD-2024-01636,07-05-2024,6600
HANI AUTOMATION TECHNOLOGIES,PUR-ORD-2023-00937,15-05-2023,6600
Kwatra Enterprises Private Limited - ToolWorld.in,PUR-ORD-2023-03175,18-12-2023,6600
Imaginarium Rapid Pvt Ltd,PUR-ORD-2023-00011,03-01-2023,6592.48
"Amphenol Interconnect India Pvt. Ltd.	",PUR-ORD-2024-00762,04-03-2024,6579
Imaginarium Rapid Pvt Ltd,PUR-ORD-2024-02288,02-09-2024,6562.07
Millenium Technologies,PUR-ORD-2023-02977,04-12-2023,6550
Havoc Hobby Center Pvt Ltd,PUR-ORD-2024-00395,05-02-2024,6531
RCMumbai,PUR-ORD-2024-01574,29-04-2024,6501
RCMumbai,PUR-ORD-2024-02055,11-07-2024,6501
EMC - RF Technology Solutions,PUR-ORD-2024-01453,22-04-2024,6500
Goodwill Enterprises,PUR-ORD-2023-03213,21-12-2023,6500
Imaginarium Rapid Pvt Ltd,PUR-ORD-2023-00102,14-01-2023,6500
SAMS Industrial Products,PUR-ORD-2023-01620,19-07-2023,6500
Seizo CNC Pvt Ltd,PUR-ORD-2023-01325,20-06-2023,6500
SN ELECTRONICS,PUR-ORD-2022-01291,14-10-2022,6500
THE BHOR CHEMICALS & PLASTICS PVT.LTD,PUR-ORD-2022-01478,09-11-2022,6500
Vyom Vista,PUR-ORD-2024-00454,09-02-2024,6500
"Warehouse international Pvt Ltd	",PUR-ORD-2024-00415,06-02-2024,6500
Macfos Limited,PUR-ORD-2024-00263,24-01-2024,6499.15
Macfos Limited,PUR-ORD-2023-01777,29-07-2023,6499
Runrc,PUR-ORD-2023-00593,08-04-2023,6499
CRENNOVATIONS 3D TECHNOLOGIES PRIVATE LIMITED,PUR-ORD-2022-00573,16-06-2022,6480
Epicenter3D,PUR-ORD-2023-01377,23-06-2023,6480
Seizo CNC Pvt Ltd,PUR-ORD-2024-02144,30-07-2024,6480
Dazzle Robotics Pvt. Ltd,PUR-ORD-2022-00937,24-08-2022,6450
Macfos Limited,PUR-ORD-2023-03129,14-12-2023,6449
Digi-Key Electronics,PUR-ORD-2024-00003,02-01-2024,6448.67
Goodwill Enterprises,PUR-ORD-2022-01273,13-10-2022,6426
MAYANK ENTERPRISES,PUR-ORD-2023-01911,16-08-2023,6415
MAYANK ENTERPRISES,PUR-ORD-2023-02029,31-08-2023,6415
Amazon,PUR-ORD-2023-03070,12-12-2023,6404.31
Dazzle Robotics Pvt. Ltd,PUR-ORD-2024-01361,15-04-2024,6400
HANI AUTOMATION TECHNOLOGIES,PUR-ORD-2023-00218,06-02-2023,6400
LINK COMPOSITES KARNATAKA LLP,PUR-ORD-2024-01740,15-05-2024,6400
LINK COMPOSITES KARNATAKA LLP,PUR-ORD-2024-01797,20-05-2024,6400
Shahputra Trading Private Limited,PUR-ORD-2024-00226,20-01-2024,6400
TenX Services Private Limited.,PUR-ORD-2024-00331,01-02-2024,6400
Goodwill Enterprises,PUR-ORD-2023-02409,11-10-2023,6370
HANI AUTOMATION TECHNOLOGIES,PUR-ORD-2022-01395,28-10-2022,6350
Amazon,PUR-ORD-2024-00545,12-12-2023,6344.9
Imaginarium Rapid Pvt Ltd,PUR-ORD-2024-01843,23-05-2024,6337.25
Goodwill Enterprises,PUR-ORD-2024-01403,17-04-2024,6320
HANI AUTOMATION TECHNOLOGIES,PUR-ORD-2023-01301,16-06-2023,6320
HANI AUTOMATION TECHNOLOGIES,PUR-ORD-2023-00269,14-02-2023,6304
"Unique industrial solutions	",PUR-ORD-2024-02208,12-08-2024,6300
Think Robotics,PUR-ORD-2023-02429,15-10-2023,6299.99
Seizo CNC Pvt Ltd,PUR-ORD-2023-02183,14-09-2023,6285
Quick Parts Solutions Pvt Ltd,PUR-ORD-2023-00156,19-01-2023,6283
HANI AUTOMATION TECHNOLOGIES,PUR-ORD-2022-01629,01-12-2022,6280
Amazon,PUR-ORD-2023-03046,09-12-2023,6256.78
AQTRONICS TECHNOLOGIES PRIVATE LIMITED.,PUR-ORD-2024-02011,01-07-2024,6254.99
Mondego Fabian Technologies,PUR-ORD-2022-01536,17-11-2022,6250
Seizo CNC Pvt Ltd,PUR-ORD-2023-00219,06-02-2023,6250
Seizo CNC Pvt Ltd,PUR-ORD-2023-02908,27-11-2023,6240
theengineerstore.in,PUR-ORD-2024-01654-1,08-05-2024,6237
Robu.in,PUR-ORD-2022-00327,28-04-2022,6236.44
MANO IMPRESSIONS,PUR-ORD-2022-00100,22-02-2022,6200
Imaginarium Rapid Pvt Ltd,PUR-ORD-2024-00544,16-02-2024,6198.43
Amazon,PUR-ORD-2024-00182,11-01-2024,6186.44
Amazon,PUR-ORD-2023-00761,27-04-2023,6185.59
Amazon,PUR-ORD-2023-01258,14-06-2023,6185.59
Macfos Limited,PUR-ORD-2023-01956,23-08-2023,6160.17
"Mouser Electronics, Inc.",PUR-ORD-2023-01806,01-08-2023,6148.14
Goodwill Enterprises,PUR-ORD-2022-00921,23-08-2022,6145
SAMS Industrial Products,PUR-ORD-2023-01856,09-08-2023,6125
VASAN ENGINEERING WORKS,PUR-ORD-2024-01156,28-03-2024,6108.75
Silverline Electronics,PUR-ORD-2022-00456,28-05-2022,6100
"Warehouse international Pvt Ltd	",PUR-ORD-2024-02112,23-07-2024,6100
Goodwill Enterprises,PUR-ORD-2023-00942,15-05-2023,6087.2
Amazon,PUR-ORD-2023-02352,05-10-2023,6066.95
Elcir Industry,PUR-ORD-2023-02893,19-11-2023,6065
Q Max Composites Systems,PUR-ORD-2022-00970,30-08-2022,6050
Colorado,PUR-ORD-2023-00530,30-03-2023,6025
Amazon,PUR-ORD-2024-02038,08-07-2024,6019.45
HANI AUTOMATION TECHNOLOGIES,PUR-ORD-2023-01651,19-07-2023,6016
Creative Interiors ,PUR-ORD-2024-01298,12-04-2024,6000
Fillet Engineering Services,PUR-ORD-2024-02100,22-07-2024,6000
Mondego Fabian Technologies,PUR-ORD-2022-01287,13-10-2022,6000
"Mouser Electronics, Inc.",PUR-ORD-2022-00856,09-08-2022,6000
OMGVH ELECTRONICS PVT LTD,PUR-ORD-2023-01039,26-05-2023,6000
STR ENGINEERING WORKS,PUR-ORD-2022-00850,08-08-2022,6000
Vyom Vista,PUR-ORD-2022-00137,10-03-2022,6000
Amazon,PUR-ORD-2024-00917,14-03-2024,5998.73
Orbilit Technology LLP,PUR-ORD-2022-00082,14-02-2022,5975
Amazon,PUR-ORD-2022-00756,23-07-2022,5973.73
Imaginarium Rapid Pvt Ltd,PUR-ORD-2024-01813,21-05-2024,5957.07
Amazon,PUR-ORD-2024-01638,07-05-2024,5949
Toolguru.in ,PUR-ORD-2024-01697,11-05-2024,5946
Quick Parts Solutions Pvt Ltd,PUR-ORD-2023-00042,08-01-2023,5943.67
Quick Parts Solutions Pvt Ltd,PUR-ORD-2024-00070,05-01-2024,5943.67
Elcir Industry,PUR-ORD-2023-00806,30-04-2023,5940
Voila Scientific Needs Pvt. Ltd.,PUR-ORD-2022-01489,11-11-2022,5937.5
Electrobot Private Limited,PUR-ORD-2022-00075,10-02-2022,5932.2
Decathlon Sports India Pvt Ltd,PUR-ORD-2023-02825,19-11-2023,5931.36
Colorado,PUR-ORD-2022-01742,18-12-2022,5925
Colorado,PUR-ORD-2023-00207,06-02-2023,5925
Goodwill Enterprises,PUR-ORD-2023-00466,13-03-2023,5920
Texas Instruments,PUR-ORD-2024-01553,26-04-2024,5911.8
Element14 India Private Limited,PUR-ORD-2023-03099,13-12-2023,5911.07
Havoc Hobby Center Pvt Ltd,PUR-ORD-2024-00611,22-02-2024,5910
HANI AUTOMATION TECHNOLOGIES,PUR-ORD-2023-01986,28-08-2023,5900
TIF LABS Pvt Ltd ( Robocraze),PUR-ORD-2022-00147,15-03-2022,5889.84
Makenika INC,PUR-ORD-2022-00085,16-02-2022,5880
Voila Scientific Needs Pvt. Ltd.,PUR-ORD-2022-00522,08-06-2022,5875
Pragathi Tools and Dies,PUR-ORD-2022-01624,30-11-2022,5850
Seizo CNC Pvt Ltd,PUR-ORD-2023-00268-1,14-02-2023,5850
 UAV Garage Pvt Ltd,PUR-ORD-2023-00841,03-05-2023,5800
Dazzle Robotics Pvt. Ltd,PUR-ORD-2024-00204,18-01-2024,5800
Elcir Industry,PUR-ORD-2023-03230,09-12-2023,5800
TenX Services Private Limited.,PUR-ORD-2024-00404,06-02-2024,5800
VASAN ENGINEERING WORKS,PUR-ORD-2024-02077,16-07-2024,5800
Shahputra Trading Private Limited,PUR-ORD-2022-01150,27-09-2022,5778
SAMS Industrial Products,PUR-ORD-2023-02155,12-09-2023,5765
Rajindra Electronics,PUR-ORD-2024-01880,30-05-2024,5750
Seizo CNC Pvt Ltd,PUR-ORD-2023-01503,05-07-2023,5750
SUPERTRONICS,PUR-ORD-2024-01116,26-03-2024,5750
Quick Parts Solutions Pvt Ltd,PUR-ORD-2023-00748,26-04-2023,5736.25
Quick Parts Solutions Pvt Ltd,PUR-ORD-2023-01309,17-06-2023,5736.25
Goodwill Enterprises,PUR-ORD-2023-00670,19-04-2023,5681
JSM Composites,PUR-ORD-2023-00949,16-05-2023,5680
Seizo CNC Pvt Ltd,PUR-ORD-2022-01060,17-09-2022,5675
Ubuy,PUR-ORD-2023-03210,20-12-2023,5675
Amazon,PUR-ORD-2024-01512,24-04-2024,5640
VLS COMPUTERS,PUR-ORD-2023-02191,15-09-2023,5630
Sintrizen Technologies PVT. LTD.,PUR-ORD-2023-03119,13-12-2023,5618.75
Elcir Industry,PUR-ORD-2023-00359,17-02-2023,5600
GLOBAL PRINTERS,PUR-ORD-2022-00982,02-09-2022,5600
Ninetron Tech LLP,PUR-ORD-2024-01488,23-04-2024,5600
"SATHYA Technosoft India Private Limited,",PUR-ORD-2022-01418,02-11-2022,5591.53
3DP Technologies,PUR-ORD-2024-01056,21-03-2024,5587
Atech Solutions Pvt Ltd,PUR-ORD-2022-00834,04-08-2022,5580
Marktech Composites Pvt Ltd,PUR-ORD-2024-01007,19-03-2024,5560
Fab.to.Lab,PUR-ORD-2024-00603,21-02-2024,5557
Element14 India Private Limited,PUR-ORD-2023-01286,21-04-2023,5554.96
Element14 India Private Limited,PUR-ORD-2023-01457,30-06-2023,5554.96
Millenium Technologies,PUR-ORD-2024-01228,04-04-2024,5550
Amazon,PUR-ORD-2023-01564,12-07-2023,5549
Bombay Tools Supplying Agency Pvt Ltd,PUR-ORD-2022-01006,09-09-2022,5535
Havoc Hobby Center Pvt Ltd,PUR-ORD-2024-00580,05-02-2024,5535
Imaginarium Rapid Pvt Ltd,PUR-ORD-2023-01692,21-07-2023,5530.83
Goodwill Enterprises,PUR-ORD-2023-03063,11-12-2023,5530
RCMumbai,PUR-ORD-2023-02374,08-10-2023,5509.92
Macfos Limited,PUR-ORD-2023-02287,27-09-2023,5507.62
Tiltas Systems LLP,PUR-ORD-2023-01183,09-06-2023,5507.62
Comfort Solutions,PUR-ORD-2022-00363,09-05-2022,5500
Creative Interiors ,PUR-ORD-2024-01777,15-05-2024,5500
Elcir Industry,PUR-ORD-2023-01832,03-08-2023,5500
Goodwill Enterprises,PUR-ORD-2024-00718,07-03-2024,5500
HANI AUTOMATION TECHNOLOGIES,PUR-ORD-2023-01456,30-06-2023,5500
Havoc Hobby Center Pvt Ltd,PUR-ORD-2022-00529,09-06-2022,5500
Havoc Hobby Center Pvt Ltd,PUR-ORD-2022-00608,22-06-2022,5500
Havoc Hobby Center Pvt Ltd,PUR-ORD-2023-00312,15-02-2023,5500
INDVAC Pumps,PUR-ORD-2023-00060,10-01-2023,5500
THE BHOR CHEMICALS & PLASTICS PVT.LTD,PUR-ORD-2024-01284,10-04-2024,5500
VASAN ENGINEERING WORKS,PUR-ORD-2022-00340,02-05-2022,5500
VASAN ENGINEERING WORKS,PUR-ORD-2022-01173,30-09-2022,5500
VVDN Technologies Private Limited,PUR-ORD-2023-01835,02-08-2023,5483.91
Seizo CNC Pvt Ltd,PUR-ORD-2023-01609,16-07-2023,5480
Goodwill Enterprises,PUR-ORD-2024-00161,12-01-2024,5467
Amazon,PUR-ORD-2024-01324,14-04-2024,5460.08
"Amphenol Interconnect India Pvt. Ltd.	",PUR-ORD-2024-00634,24-02-2024,5450
TestCAL,PUR-ORD-2024-01338,15-04-2024,5450
Voila Scientific Needs Pvt. Ltd.,PUR-ORD-2023-00155,20-01-2023,5446
Elcir Industry,PUR-ORD-2024-01491,23-04-2024,5445
Dazzle Robotics Pvt. Ltd,PUR-ORD-2023-02740,10-11-2023,5400
Eta Pro Technologies Pvt Ltd,PUR-ORD-2023-01323,19-06-2023,5400
Indian Robo Store,PUR-ORD-2024-00073,04-01-2024,5380.95
Imaginarium Rapid Pvt Ltd,PUR-ORD-2023-02208,18-09-2023,5363.05
Robu.in,PUR-ORD-2023-00310,15-02-2023,5338.14
Imaginarium Rapid Pvt Ltd,PUR-ORD-2023-02964,01-12-2023,5334
Ubuy,PUR-ORD-2023-00576,03-04-2023,5326
Ubuy,PUR-ORD-2023-00597,08-04-2023,5326
TATA TELESERVICES LIMITED,PUR-ORD-2022-01171,30-09-2022,5300
THE BHOR CHEMICALS & PLASTICS PVT.LTD,PUR-ORD-2023-00232,07-02-2023,5300
Seizo CNC Pvt Ltd,PUR-ORD-2023-00935,15-05-2023,5280
Marktech Composites Pvt Ltd,PUR-ORD-2022-01745,19-12-2022,5275
CHANDRAHOMA ENTERPRISES PRIVATE LIMITED,PUR-ORD-2024-00212,19-01-2024,5250
SAMS Industrial Products,PUR-ORD-2023-00481,16-03-2023,5250
VASAN ENGINEERING WORKS,PUR-ORD-2023-02072,06-09-2023,5250
VASAN ENGINEERING WORKS,PUR-ORD-2023-02200,18-09-2023,5250
VASAN ENGINEERING WORKS,PUR-ORD-2023-02650,05-11-2023,5250
Macfos Limited,PUR-ORD-2023-02806,17-11-2023,5249.15
Macfos Limited,PUR-ORD-2023-02869-1,22-11-2023,5249.15
Ubuy,PUR-ORD-2023-00977,19-05-2023,5231
HANI AUTOMATION TECHNOLOGIES,PUR-ORD-2023-00622,13-04-2023,5220
Seizo CNC Pvt Ltd,PUR-ORD-2023-01288,15-06-2023,5220
Macfos Limited,PUR-ORD-2023-01005,23-05-2023,5215
Macfos Limited,PUR-ORD-2023-01107,23-05-2023,5215
Click Technologies,PUR-ORD-2023-01598,14-07-2023,5211.86
Elcir Industry,PUR-ORD-2023-00259,14-02-2023,5210
Goodwill Enterprises,PUR-ORD-2022-01601,28-11-2022,5203.2
ANS Associates,PUR-ORD-2023-01949,22-08-2023,5200
Flight mode,PUR-ORD-2023-03142,15-12-2023,5200
Imaginarium Rapid Pvt Ltd,PUR-ORD-2023-00057,09-01-2023,5200
Rite Source Storage Systems,PUR-ORD-2023-02115,09-09-2023,5200
Standard Auto industries,PUR-ORD-2024-02186,08-08-2024,5200
Colorado,PUR-ORD-2023-02169,13-09-2023,5195
Elcir Industry,PUR-ORD-2024-02297,03-09-2024,5175
Epicenter3D,PUR-ORD-2023-01053,29-05-2023,5160
Epicenter3D,PUR-ORD-2023-01054,29-05-2023,5160
VASAN ENGINEERING WORKS,PUR-ORD-2023-01844,05-08-2023,5150
Amazon,PUR-ORD-2023-01297,16-06-2023,5116.96
3DPrintronics,PUR-ORD-2023-01994,29-08-2023,5100
Imaginarium Rapid Pvt Ltd,PUR-ORD-2022-00481,01-06-2022,5100
SAMS Industrial Products,PUR-ORD-2024-02270,29-08-2024,5100
ARKA INSTRUMENTS LLP,PUR-ORD-2024-01975,25-06-2024,5096
Arka Instruments Incorporation,PUR-ORD-2023-02559,27-10-2023,5095.79
Arka Instruments Incorporation,PUR-ORD-2023-02674,06-11-2023,5095.79
Arka Instruments Incorporation,PUR-ORD-2023-02927,28-11-2023,5095.79
Macfos Pvt Ltd,PUR-ORD-2022-01354,24-10-2022,5083.9
Amazon,PUR-ORD-2023-00488,19-03-2023,5081.36
Amazon,PUR-ORD-2023-01540,07-07-2023,5062.43
Shahputra Trading Private Limited,PUR-ORD-2022-01211,07-10-2022,5047
RS Components & Controls (I) Ltd,PUR-ORD-2023-02890,23-11-2023,5043.47
Amazon,PUR-ORD-2022-01234,10-10-2022,5030.51
Adhesive Specialties,PUR-ORD-2022-00276,13-04-2022,5000
ANUBIS TECH,PUR-ORD-2023-01614,16-07-2023,5000
Goodwill Enterprises,PUR-ORD-2023-00158,20-01-2023,5000
Goodwill Enterprises,PUR-ORD-2024-02195,08-08-2024,5000
Gurukripa Enterprises,PUR-ORD-2023-00294,15-02-2023,5000
Imaginarium Rapid Pvt Ltd,PUR-ORD-2024-01297,11-04-2024,5000
Imaginarium Rapid Pvt Ltd,PUR-ORD-2024-01790,18-05-2024,5000
Inter Ads Exhibitions Pvt. Ltd,PUR-ORD-2023-02575,28-10-2023,5000
JSM Composites,PUR-ORD-2023-01104,31-05-2023,5000
JSM Composites,PUR-ORD-2024-02296,02-09-2024,5000
Millenium Technologies,PUR-ORD-2023-02230,20-09-2023,5000
Millenium Technologies,PUR-ORD-2023-02259,23-09-2023,5000
Ramaiah University of Applied Sciences,PUR-ORD-2024-01957,20-06-2024,5000
Sheeltron Digital Systems Private Limited,PUR-ORD-2022-00371,10-05-2022,5000
Skill Tech,PUR-ORD-2024-01966,21-06-2024,5000
Sri ganesh Power Services ,PUR-ORD-2022-01463,07-11-2022,5000
TestCAL,PUR-ORD-2023-01208,12-06-2023,5000
THULASIRAMPRABHU,PUR-ORD-2024-01192,03-04-2024,5000
Wildcraft India Private Limited,PUR-ORD-2024-00188,17-01-2024,5000
Wildcraft India Private Limited,PUR-ORD-2024-00614-1,22-02-2024,5000
Ethereal Machines Pvt Ltd,PUR-ORD-2023-00479,15-03-2023,4980
"Mouser Electronics, Inc.",PUR-ORD-2023-00510,27-03-2023,4971.91
Imaginarium Rapid Pvt Ltd,PUR-ORD-2024-00019,02-01-2024,4962
Goodwill Enterprises,PUR-ORD-2023-01552,11-07-2023,4942.5
Imaginarium Rapid Pvt Ltd,PUR-ORD-2023-02923,28-11-2023,4935.1
Imaginarium Rapid Pvt Ltd,PUR-ORD-2024-00758,03-03-2024,4935.1
VYOM DRONES PRIVATE LIMITED . ,PUR-ORD-2024-01672,09-05-2024,4930
Amazon,PUR-ORD-2024-00418,07-02-2024,4924.2
Texas Instruments,PUR-ORD-2023-02763,14-11-2023,4916.75
Texas Instruments,PUR-ORD-2024-00110,09-01-2024,4906.89
Skill Tech,PUR-ORD-2024-00708,28-02-2024,4900
VASAN ENGINEERING WORKS,PUR-ORD-2024-01063,21-03-2024,4900
Amazon,PUR-ORD-2024-00314,29-01-2024,4898.31
Texas Instruments,PUR-ORD-2024-00596,09-01-2024,4898.01
Dazzle Robotics Pvt. Ltd,PUR-ORD-2022-00638,30-06-2022,4885
Seizo CNC Pvt Ltd,PUR-ORD-2024-01057,21-03-2024,4885
Southfield Coatings Private Limited,PUR-ORD-2024-00128,09-01-2024,4884
Colorado,PUR-ORD-2023-03145,21-11-2023,4865
HANI AUTOMATION TECHNOLOGIES,PUR-ORD-2022-00494-1,02-06-2022,4860
HANI AUTOMATION TECHNOLOGIES,PUR-ORD-2023-01069,29-05-2023,4860
Shahputra Trading Private Limited,PUR-ORD-2024-00913,14-03-2024,4844
Amazon,PUR-ORD-2022-01121,23-09-2022,4831.73
Arka Instruments Incorporation,PUR-ORD-2022-01145,27-09-2022,4830.5
Arka Instruments Incorporation,PUR-ORD-2022-01452,04-11-2022,4830.5
Sri Balaji Engineering,PUR-ORD-2023-00343,16-02-2023,4830
Alpha Shope,PUR-ORD-2022-00136,09-03-2022,4813.56
AADI IT SOLUTIONS,PUR-ORD-2022-00117,28-02-2022,4800
AADI IT SOLUTIONS,PUR-ORD-2023-01712,25-07-2023,4800
AADI IT SOLUTIONS,PUR-ORD-2023-01966,24-08-2023,4800
Lotus Sales Corporation,PUR-ORD-2022-01635,01-12-2022,4800
Powersafety Enterprises,PUR-ORD-2022-01544,18-11-2022,4800
VASAN ENGINEERING WORKS,PUR-ORD-2023-01512,06-07-2023,4800
VASAN ENGINEERING WORKS,PUR-ORD-2024-00043,04-01-2024,4800
VASAN ENGINEERING WORKS,PUR-ORD-2024-00799,06-03-2024,4800
Macfos Limited,PUR-ORD-2024-00035,04-01-2024,4799
Robu.in,PUR-ORD-2024-01667,09-05-2024,4799
Skill Tech,PUR-ORD-2024-00269,25-01-2024,4799
Seizo CNC Pvt Ltd,PUR-ORD-2023-00986,19-05-2023,4780
Seizo CNC Pvt Ltd,PUR-ORD-2023-01070,29-05-2023,4780
Desertcart India,PUR-ORD-2024-01527,25-04-2024,4779
Quick Parts Solutions Pvt Ltd,PUR-ORD-2023-00018,04-01-2023,4760.6
Goodwill Enterprises,PUR-ORD-2024-01174,02-04-2024,4758
Voila Scientific Needs Pvt. Ltd.,PUR-ORD-2022-00778,26-07-2022,4757
Marktech,PUR-ORD-2022-01732,16-12-2022,4755
Marktech Composites Pvt Ltd,PUR-ORD-2023-00119,16-01-2023,4755
CHANDRAHOMA ENTERPRISES PRIVATE LIMITED,PUR-ORD-2024-00198,17-01-2024,4750
Dazzle Robotics Pvt. Ltd,PUR-ORD-2024-00181,17-01-2024,4750
Gadgetsdeal,PUR-ORD-2024-01379-1,16-04-2024,4750
SPark Systems,PUR-ORD-2023-00300,15-02-2023,4750
Gadgetsdeal,PUR-ORD-2023-02841,21-11-2023,4723
Vyom Vista,PUR-ORD-2023-01800,01-08-2023,4718.82
Macfos Pvt Ltd,PUR-ORD-2023-00707,21-04-2023,4702.54
Macfos Pvt Ltd,PUR-ORD-2023-00863,07-05-2023,4702.54
AADI IT SOLUTIONS,PUR-ORD-2022-01416,02-11-2022,4700
Dazzle Robotics Pvt. Ltd,PUR-ORD-2023-03125,14-12-2023,4700
JSM Composites,PUR-ORD-2024-02304,04-09-2024,4700
VASAN ENGINEERING WORKS,PUR-ORD-2023-02607,31-10-2023,4700
Macfos Limited,PUR-ORD-2023-03109,13-12-2023,4699
Shahputra Trading Private Limited,PUR-ORD-2023-00082,11-01-2023,4698.3
Shahputra Trading Private Limited,PUR-ORD-2023-02172,13-09-2023,4698.3
Shahputra Trading Private Limited,PUR-ORD-2023-02654,05-11-2023,4698.3
Amazon,PUR-ORD-2023-00989,19-05-2023,4661.02
VASAN ENGINEERING WORKS,PUR-ORD-2024-02206,12-08-2024,4640
Circuit Systems(India) Limited,PUR-ORD-2022-00797,27-07-2022,4639.29
Ubuy,PUR-ORD-2023-00575,03-04-2023,4635
